Bx,By,Bz
1.831532271740962869e+01,-2.182206734093824263e+00,-2.439913825580968876e+01
1.831435068915012820e+01,-2.181700584640163587e+00,-2.439925257092820132e+01
1.828919571238400010e+01,-2.198815621058153535e+00,-2.441054418070668675e+01
1.826412565643508401e+01,-2.215982981477316649e+00,-2.442179815717246782e+01
1.823914059703462698e+01,-2.233202532011919761e+00,-2.443301524896936172e+01
1.821424060278926405e+01,-2.250474135272698017e+00,-2.444419620494480583e+01
1.818942574200485751e+01,-2.267797653957652759e+00,-2.445534177339821724e+01
1.816469607976945611e+01,-2.285172949328148295e+00,-2.446645270238166603e+01
1.814005167501735016e+01,-2.302599879631529234e+00,-2.447752973990633762e+01
1.811549258738276791e+01,-2.320078303769520289e+00,-2.448857363332659176e+01
1.809101886936861092e+01,-2.337608077097656167e+00,-2.449958512995761239e+01
1.806663057321121357e+01,-2.355189055120832098e+00,-2.451056497650676391e+01
1.804232774794739314e+01,-2.372821091924552928e+00,-2.452151391929617219e+01
1.801811043646258526e+01,-2.390504038553370680e+00,-2.453243270438996504e+01
1.799397868238395404e+01,-2.408237746783445488e+00,-2.454332207716342040e+01
1.796993252220633508e+01,-2.426022064803746936e+00,-2.455418278270914456e+01
1.794597199219559513e+01,-2.443856841015050740e+00,-2.456501556545424236e+01
1.792209712543990818e+01,-2.461741922417515216e+00,-2.457582116930407423e+01
1.789830794888292687e+01,-2.479677152945784613e+00,-2.458660033768887487e+01
1.787460449025460818e+01,-2.497662377343429885e+00,-2.459735381332119530e+01
1.785098677015608715e+01,-2.515697436728661085e+00,-2.460808233838687897e+01
1.782745480899989587e+01,-2.533782172494818408e+00,-2.461878665435162006e+01
1.780400862404681206e+01,-2.551916424654328441e+00,-2.462946750202407742e+01
1.778064822642518195e+01,-2.570100030131266422e+00,-2.464012562152037944e+01
1.775737362809654130e+01,-2.588332826736391645e+00,-2.465076175221350852e+01
1.773418483390300793e+01,-2.606614648618773344e+00,-2.466137663270518132e+01
1.771108184854148604e+01,-2.624945330266054366e+00,-2.467197100082487182e+01
1.768806467358672307e+01,-2.643324704806294001e+00,-2.468254559361137268e+01
1.766513330449727448e+01,-2.661752602258699696e+00,-2.469310114719421989e+01
1.764228773761500690e+01,-2.680228853607087736e+00,-2.470363839693732544e+01
1.761952796217562422e+01,-2.698753286139848218e+00,-2.471415807718907587e+01
1.759685396731606843e+01,-2.717325727548387970e+00,-2.472466092147670480e+01
1.757426573908443856e+01,-2.735946004186642799e+00,-2.473514766240459650e+01
1.755176325743440557e+01,-2.754613939281050694e+00,-2.474561903145139041e+01
1.752934650325489230e+01,-2.773329357100782655e+00,-2.475607575931123705e+01
1.750701545034795004e+01,-2.792092078187811133e+00,-2.476651857541841650e+01
1.748477007246625448e+01,-2.810901923551610615e+00,-2.477694820833987777e+01
1.746261034031048709e+01,-2.829758712887903371e+00,-2.478736538558977642e+01
1.744053621851264424e+01,-2.848662262748505203e+00,-2.479777083334085575e+01
1.741854767269491688e+01,-2.867612390806190792e+00,-2.480816527696597973e+01
1.739664466141610077e+01,-2.886608910977563447e+00,-2.481854944033433341e+01
1.737482714323752475e+01,-2.905651637711906599e+00,-2.482892404640521278e+01
1.735309507370915583e+01,-2.924740384169292717e+00,-2.483928981695685323e+01
1.733144840234344031e+01,-2.943874960351407388e+00,-2.484964747221106052e+01
1.730988707969980922e+01,-2.963055177459241740e+00,-2.485999773157839954e+01
1.728841104930345196e+01,-2.982280842910482566e+00,-2.487034131272212178e+01
1.726702025473665358e+01,-3.001551764720651772e+00,-2.488067893235610128e+01
1.724571463661478887e+01,-3.020867749642284661e+00,-2.489101130588744581e+01
1.722449412955059955e+01,-3.040228601257284780e+00,-2.490133914695307382e+01
1.720335866926318147e+01,-3.059634124425004487e+00,-2.491166316837088957e+01
1.718230818447096198e+01,-3.079084120197423502e+00,-2.492198408096892592e+01
1.716134260400647804e+01,-3.098578390290125384e+00,-2.493230259459022236e+01
1.714046185378326825e+01,-3.118116735182611343e+00,-2.494261941764732171e+01
1.711966585375212091e+01,-3.137698952173262334e+00,-2.495293525657001155e+01
1.709895452503201696e+01,-3.157324839916565207e+00,-2.496325081696518211e+01
1.707832778177952449e+01,-3.176994193236892361e+00,-2.497356680220838498e+01
1.705778553832543309e+01,-3.196706807688165508e+00,-2.498388391465747915e+01
1.703732770613256875e+01,-3.216462477616578219e+00,-2.499420285511917683e+01
1.701695419074520998e+01,-3.236260994179289252e+00,-2.500452432220641796e+01
1.699666489893932919e+01,-3.256102149967508463e+00,-2.501484901370942637e+01
1.697645973057181124e+01,-3.275985733723068893e+00,-2.502517762494681008e+01
1.695633858573528485e+01,-3.295911534983415603e+00,-2.503551085019107347e+01
1.693630136170947864e+01,-3.315879342107624694e+00,-2.504584938204505562e+01
1.691634794990439872e+01,-3.335888940259450486e+00,-2.505619391070865731e+01
1.689647824302718249e+01,-3.355940116114823457e+00,-2.506654512556321990e+01
1.687669212691400844e+01,-3.376032652482612306e+00,-2.507690371327950629e+01
1.685698948770142991e+01,-3.396166333033512785e+00,-2.508727035945729611e+01
