Bx,By,Bz
1.553923816253424484e+01,-1.669398883650653032e+00,-2.533633837493207963e+01
1.553878166413866246e+01,-1.669620337037986069e+00,-2.533653365988991268e+01
1.550810090132848096e+01,-1.673448984955602903e+00,-2.533841556827491459e+01
1.547751790660905336e+01,-1.677323940020097215e+00,-2.534017858311748128e+01
1.544703304600792571e+01,-1.681245412239780634e+00,-2.534182342955920930e+01
1.541664668049898879e+01,-1.685213611557496272e+00,-2.534335083667442134e+01
1.538635916920169500e+01,-1.689228746336322029e+00,-2.534476153607640825e+01
1.535617086799378583e+01,-1.693291024003898082e+00,-2.534605626247831722e+01
1.532608212810276527e+01,-1.697400651639180857e+00,-2.534723575425450548e+01
1.529609329933777317e+01,-1.701557834541242986e+00,-2.534830075204510180e+01
1.526620472636071746e+01,-1.705762777825140963e+00,-2.534925200029537962e+01
1.523641675192997447e+01,-1.710015685019623088e+00,-2.535009024585989224e+01
1.520672971549583430e+01,-1.714316758663883000e+00,-2.535081623856338950e+01
1.517714395177375941e+01,-1.718666200845902825e+00,-2.535143073176104878e+01
1.514765979402065987e+01,-1.723064211884769881e+00,-2.535193448094290858e+01
1.511827757025700159e+01,-1.727510991796999296e+00,-2.535232824527146178e+01
1.508899760655510569e+01,-1.732006739008311591e+00,-2.535261278618639480e+01
1.505982022561644307e+01,-1.736551650902018240e+00,-2.535278886796455211e+01
1.503074574532581842e+01,-1.741145924308362902e+00,-2.535285725827776560e+01
1.500177448207419673e+01,-1.745789754301863006e+00,-2.535281872680021209e+01
1.497290674692922074e+01,-1.750483335536443752e+00,-2.535267404674048208e+01
1.494414284897008471e+01,-1.755226861072775701e+00,-2.535242399345062125e+01
1.491548309384623927e+01,-1.760020522877675742e+00,-2.535206934498345177e+01
1.488692778231322578e+01,-1.764864512263491392e+00,-2.535161088264657181e+01
1.485847721360121376e+01,-1.769759018802439909e+00,-2.535104938961616128e+01
1.483013168153499706e+01,-1.774704231528411613e+00,-2.535038565246003373e+01
1.480189147791482185e+01,-1.779700337881666483e+00,-2.534962045975357015e+01
1.477375689105635459e+01,-1.784747524158550647e+00,-2.534875460263375757e+01
1.474572820430707054e+01,-1.789845975900421271e+00,-2.534778887534782399e+01
1.471780569946264805e+01,-1.794995876926344547e+00,-2.534672407387639126e+01
1.468998965283375746e+01,-1.800197410400060649e+00,-2.534556099744436608e+01
1.466228033867490943e+01,-1.805450757893436897e+00,-2.534430044714673613e+01
1.463467802770543713e+01,-1.810756099785851170e+00,-2.534294322649803277e+01
1.460718298560674633e+01,-1.816113615601830045e+00,-2.534149014197432237e+01
1.457979547648604779e+01,-1.821523483163947965e+00,-2.533994200164904953e+01
1.455251575889089466e+01,-1.826985879522850409e+00,-2.533829961668778452e+01
1.452534408928550924e+01,-1.832500980141254177e+00,-2.533656379998766184e+01
1.449828072055233186e+01,-1.838068959242356692e+00,-2.533473536672057946e+01
1.447132590046963330e+01,-1.843689990095619180e+00,-2.533281513486716463e+01
1.444447987522383237e+01,-1.849364244291278103e+00,-2.533080392386882451e+01
1.441774288537024340e+01,-1.855091892531882891e+00,-2.532870255610237464e+01
1.439111516935788693e+01,-1.860873103938297080e+00,-2.532651185553675433e+01
1.436459696201198533e+01,-1.866708046346280847e+00,-2.532423264826826426e+01
1.433818849299196430e+01,-1.872596886539966921e+00,-2.532186576304537340e+01
1.431188999035208909e+01,-1.878539789649349645e+00,-2.531941202994040907e+01
1.428570167644877209e+01,-1.884536919801715449e+00,-2.531687228180014770e+01
1.425962377151415161e+01,-1.890588439551003752e+00,-2.531424735292314310e+01
1.423365649211848094e+01,-1.896694510122213906e+00,-2.531153807958591528e+01
1.420780004960828258e+01,-1.902855291591924347e+00,-2.530874530055674043e+01
1.418205465371640273e+01,-1.909070942410113103e+00,-2.530586985579076043e+01
1.415642050841468880e+01,-1.915341619910039705e+00,-2.530291258785235442e+01
1.413089781553677149e+01,-1.921667479862299466e+00,-2.529987434061684226e+01
1.410548677322122124e+01,-1.928048676666315853e+00,-2.529675595978618219e+01
1.408018757432953194e+01,-1.934485363477358888e+00,-2.529355829339017703e+01
1.405500041010556522e+01,-1.940977691854073317e+00,-2.529028219050843873e+01
1.402992546597381640e+01,-1.947525812125235900e+00,-2.528692850266115855e+01
1.400496292521165920e+01,-1.954129873069803347e+00,-2.528349808253804198e+01
1.398011296737212739e+01,-1.960790022055143522e+00,-2.527999178450245310e+01
1.395537576668210100e+01,-1.967506405110027945e+00,-2.527641046507827127e+01
1.393075149575127725e+01,-1.974279166699014265e+00,-2.527275498170281054e+01
1.390624032131560028e+01,-1.981108449944857908e+00,-2.526902619408097550e+01
