,X,Y,Z
210,4.19,-2.0,0.08
211,4.12,-2.0,0.06
212,4.12,-2.0,0.06
213,4.12,-2.0,0.06
214,4.12,-2.0,0.04
215,4.17,-2.0,0.08
216,4.12,-1.98,0.06
217,4.12,-1.98,0.06
218,4.12,-1.98,0.06
219,4.1,-2.03,-0.03
220,4.1,-2.03,-0.03
221,4.16,-1.98,0.15
222,4.16,-1.98,0.15
223,4.1,-1.92,-0.15
224,4.1,-1.92,-0.15
225,4.1,-1.92,-0.15
226,2.28,-1.79,0.04
227,2.28,-1.79,0.04
228,2.31,-1.82,-0.01
229,2.31,-1.82,-0.01
230,2.31,-1.82,-0.01
231,2.2,-1.79,0.02
232,2.22,-1.79,0.04
233,2.31,-1.82,0.04
234,2.31,-1.82,0.04
235,2.28,-1.82,-0.03
236,2.21,-1.79,-0.05
237,2.21,-1.79,-0.05
238,2.26,-1.79,-0.01
239,2.28,-1.85,0.04
240,2.28,-1.85,0.04
241,2.28,-1.82,0.02
242,2.28,-1.82,0.02
243,2.21,-1.79,-0.05
244,2.21,-1.79,-0.05
245,2.21,-1.79,-0.05
246,2.33,-1.79,0.01
247,2.33,-1.79,0.01
248,2.21,-1.82,-0.05
249,2.21,-1.82,-0.05
250,2.22,-1.77,0.04
251,2.22,-1.77,0.04
252,2.22,-1.77,0.04
253,1.75,-1.62,-0.09
254,1.75,-1.62,-0.09
255,1.06,-1.59,-0.07
256,1.06,-1.59,-0.07
257,1.06,-1.59,-0.07
258,1.14,-1.62,-0.05
259,1.14,-1.62,-0.05
260,1.03,-1.62,-0.04
261,1.03,-1.62,-0.04
262,1.03,-1.62,-0.04
263,1.11,-1.59,0.02
264,1.11,-1.59,0.02
265,1.08,-1.59,-0.02
266,1.08,-1.59,-0.02
267,1.08,-1.59,-0.02
268,1.03,-1.59,-0.02
269,1.03,-1.59,-0.02
270,1.16,-1.59,0.02
271,1.16,-1.59,0.02
272,1.16,-1.59,0.02
273,1.16,-1.59,0.02
274,1.16,-1.59,0.02
275,1.13,-1.53,0.05
276,1.13,-1.53,0.05
277,1.14,-1.56,-0.05
278,1.14,-1.56,-0.05
279,1.14,-1.56,-0.05
280,0.23,-1.41,0.04
281,0.23,-1.41,0.04
282,0.07,-1.41,0.1
283,0.07,-1.41,0.1
284,0.07,-1.41,0.1
285,-0.2,-1.44,-0.01
286,-0.2,-1.44,-0.01
287,-0.12,-1.41,0.08
288,-0.12,-1.41,0.08
289,-0.12,-1.41,0.08
290,-0.12,-1.41,0.01
291,-0.12,-1.41,0.01
292,0.12,-1.41,0.01
293,0.12,-1.41,0.01
294,0.12,-1.41,0.01
295,-0.07,-1.44,0.03
296,-0.07,-1.44,0.03
297,-0.17,-1.44,-0.03
298,-0.17,-1.44,-0.03
299,-0.15,-1.41,0.11
300,-0.05,-1.38,0.1
301,-0.05,-1.38,0.1
302,-0.11,-1.47,-0.04
303,-0.11,-1.47,-0.04
304,-0.11,-1.47,-0.04
305,-0.1,-1.44,0.08
306,-0.12,-1.41,0.03
307,-0.12,-1.41,0.03
308,0.2,-1.44,0.06
309,0.2,-1.44,0.06
310,-0.07,-1.38,0.1
311,-0.07,-1.38,0.1
312,0.05,-1.18,-0.14
313,0.05,-1.18,-0.14
314,0.05,-1.18,-0.14
315,0.1,-1.21,-0.07
316,0.1,-1.21,-0.07
317,0.15,-1.24,-0.08
318,0.15,-1.24,-0.08
319,0.15,-1.24,-0.08
320,0.05,-1.21,-0.14
321,0.05,-1.21,-0.14
322,0.17,-1.16,-0.01
323,0.17,-1.16,-0.01
324,0.17,-1.16,-0.01
325,0.03,-1.24,-0.17
326,0.03,-1.24,-0.17
327,0.07,-1.13,-0.05
328,0.07,-1.13,-0.05
