Bx,By,Bz
1.974406717306085213e+01,-6.838880260718294579e+00,-2.890410423560881270e+01
1.972435260027600279e+01,-6.860037422310283795e+00,-2.893798957384982984e+01
1.970466845456254745e+01,-6.881174411921562317e+00,-2.897189183295479609e+01
1.968501461784459750e+01,-6.902290988303300345e+00,-2.900581115167849688e+01
1.966539097073402331e+01,-6.923386910195573840e+00,-2.903974766546115305e+01
1.964579739358237376e+01,-6.944461936957281090e+00,-2.907370150786887564e+01
1.962623376649312945e+01,-6.965515828573521695e+00,-2.910767281059614930e+01
1.960669996933435399e+01,-6.986548345663155857e+00,-2.914166170346919671e+01
1.958719588175078030e+01,-7.007559249486471131e+00,-2.917566831444935360e+01
1.956772138420176432e+01,-7.028548302557974914e+00,-2.920969277112542528e+01
1.954827635387104934e+01,-7.049515266228834065e+00,-2.924373519476436911e+01
1.952886067083465704e+01,-7.070459904334985168e+00,-2.927779570923620867e+01
1.950947421396781678e+01,-7.091381980775668836e+00,-2.931187443507632295e+01
1.949011686198364757e+01,-7.112281260128228588e+00,-2.934597149097305646e+01
1.947078849344564233e+01,-7.133157507655538687e+00,-2.938008699377202859e+01
1.945148898677945226e+01,-7.154010489313036736e+00,-2.941422105847973967e+01
1.943221822129880749e+01,-7.174839972348315165e+00,-2.944837379979747638e+01
1.941297607316129614e+01,-7.195645722937012323e+00,-2.948254532601432842e+01
1.939376242146686735e+01,-7.216427509749983926e+00,-2.951673574817058565e+01
1.937457714421058697e+01,-7.237185101584711511e+00,-2.955094517396162601e+01
1.935542011930959916e+01,-7.257918267966927850e+00,-2.958517370926681878e+01
1.933629122461485395e+01,-7.278626779157860049e+00,-2.961942145815487493e+01
1.931719033792271034e+01,-7.299310406161144904e+00,-2.965368852288884227e+01
1.929811733698661769e+01,-7.319968920729751360e+00,-2.968797500393142741e+01
1.927907210052876508e+01,-7.340602095949186001e+00,-2.972228100152363695e+01
1.926005450425057575e+01,-7.361209703937107385e+00,-2.975660660940225810e+01
1.924106442684837148e+01,-7.381791519313978256e+00,-2.979095192422938254e+01
1.922210174602044574e+01,-7.402347316898544527e+00,-2.982531703932095368e+01
1.920316633947964746e+01,-7.422876872293130646e+00,-2.985970204622099544e+01
1.918425808496533236e+01,-7.443379961889895036e+00,-2.989410703470691644e+01
1.916537686025435860e+01,-7.463856362877696604e+00,-2.992853209279605053e+01
1.914652254415929633e+01,-7.484305853810632847e+00,-2.996297730836350581e+01
1.912769501258896554e+01,-7.504728212365604278e+00,-2.999744276270915577e+01
1.910889414448846324e+01,-7.525123218725526364e+00,-3.003192854021541436e+01
1.909011981789555534e+01,-7.545490653332458386e+00,-3.006643472192485689e+01
1.907137191094095741e+01,-7.565830297457851294e+00,-3.010096138715293890e+01
1.905265030185929120e+01,-7.586141933209073152e+00,-3.013550861349519039e+01
1.903395486899971800e+01,-7.606425343535451411e+00,-3.017007647683369953e+01
1.901528549181090355e+01,-7.626680312781680016e+00,-3.020466505299315330e+01
1.899664204695331904e+01,-7.646906624504703487e+00,-3.023927441116031289e+01
1.897802441416056851e+01,-7.667104064766617100e+00,-3.027390462376429170e+01
1.895943247234723117e+01,-7.687272419947804636e+00,-3.030855575990794293e+01
1.894086610059558140e+01,-7.707411477302033909e+00,-3.034322788701868490e+01
1.892232517816589521e+01,-7.727521024962261897e+00,-3.037792107085577342e+01
1.890380958450682769e+01,-7.747600851946704559e+00,-3.041263537551840557e+01
1.888531919926572655e+01,-7.767650748164740548e+00,-3.044737086345361732e+01
1.886685390325767742e+01,-7.787670504951692330e+00,-3.048212759715357478e+01
1.884841357463836076e+01,-7.807659912956758319e+00,-3.051690563241238152e+01
1.882999809467258956e+01,-7.827618765329127370e+00,-3.055170502845402325e+01
1.881160734390358868e+01,-7.847546855601051696e+00,-3.058652584119933238e+01
1.879324120312359270e+01,-7.867443978224774703e+00,-3.062136812495861449e+01
1.877489955338309713e+01,-7.887309928578348561e+00,-3.065623193244070066e+01
1.875658227600093042e+01,-7.907144502971281241e+00,-3.069111731476204241e+01
1.873828925351859453e+01,-7.926947499162806388e+00,-3.072602432317921384e+01
1.872002036592828134e+01,-7.946718714313498744e+00,-3.076095300220712403e+01
1.870177549635779712e+01,-7.966457948074897821e+00,-3.079590339995705861e+01
1.868355452729441524e+01,-7.986165000536327163e+00,-3.083087556126483975e+01
1.866535734154090775e+01,-8.005839672745366897e+00,-3.086586952941916806e+01
1.864718382222468662e+01,-8.025481766713223664e+00,-3.090088534617123628e+01
1.862903385280731072e+01,-8.045091085419612043e+00,-3.093592305174395918e+01
1.861090731802400455e+01,-8.064667433314324896e+00,-3.097098268659941667e+01
1.859280410016747354e+01,-8.084210614334384815e+00,-3.100606428442216966e+01
1.857472408468736091e+01,-8.103720434894933433e+00,-3.104116788266264848e+01
1.855666715646986731e+01,-8.123196701901029826e+00,-3.107629351552924390e+01
1.853863320077923760e+01,-8.142639223251437741e+00,-3.111144121575168953e+01
1.852062210326658231e+01,-8.162047807843315184e+00,-3.114661101459108394e+01
1.850263374997805599e+01,-8.181422265576976827e+00,-3.118180294185005508e+01
1.848466802736350800e+01,-8.200762407360453921e+00,-3.121701702588294935e+01
1.846672482319868536e+01,-8.220068045591677475e+00,-3.125225329540264596e+01
1.844880402293521371e+01,-8.239338992251106220e+00,-3.128751177231166025e+01
1.843090551519944498e+01,-8.258575061777134962e+00,-3.132279248247365544e+01
1.841302918813786960e+01,-8.277776069154560545e+00,-3.135809544855578679e+01
1.839517493034088247e+01,-8.296941830398472106e+00,-3.139342069183013706e+01
1.837734263085084763e+01,-8.316072162558524994e+00,-3.142876823218469440e+01
1.835953217916989644e+01,-8.335166883723204023e+00,-3.146413808813436930e+01
1.834174346616661921e+01,-8.354225813483774132e+00,-3.149953027865917932e+01
1.832397638048490052e+01,-8.373248771096063692e+00,-3.153494481590981025e+01
1.830623081395286178e+01,-8.392235578251721506e+00,-3.157038171617061550e+01
1.828850665798681163e+01,-8.411186057235017444e+00,-3.160584099257449608e+01
1.827080380450027519e+01,-8.430100031388731097e+00,-3.164132265693645962e+01
1.825312214591090765e+01,-8.448977325118191217e+00,-3.167682671976542608e+01
1.823546157514737942e+01,-8.467817763895167715e+00,-3.171235319027612931e+01
1.821782198565631816e+01,-8.486621174261525624e+00,-3.174790207640056749e+01
1.820020327229110535e+01,-8.505387384272667717e+00,-3.178347338666259247e+01
1.818260532778892369e+01,-8.524116221739095778e+00,-3.181906712274236071e+01
1.816502804807515403e+01,-8.542807516876454343e+00,-3.185468329065210824e+01
1.814747132873608493e+01,-8.561461100541993829e+00,-3.189032189330981737e+01
1.812993506590918713e+01,-8.580076804680125235e+00,-3.192598293240924434e+01
1.811241915628939836e+01,-8.598654462325960424e+00,-3.196166640843257412e+01
1.809492349713570292e+01,-8.617193907607989090e+00,-3.199737232066157588e+01
1.807744798714342949e+01,-8.635694976173178716e+00,-3.203310066908244380e+01
1.805999252298230928e+01,-8.654157503500334414e+00,-3.206885144683266020e+01
1.804255700450750410e+01,-8.672581327441742260e+00,-3.210462465155576695e+01
