,Bx,By,Bz
1678,25.73234315327571,4.946512238014784,29.84860807250792
1679,25.73466285600343,4.943625756341011,29.855773525815188
1680,25.736993032809583,4.940717132829415,29.86290184181191
1681,25.73933366257781,4.93778639433264,29.86999291498856
1682,25.741684723928504,4.934833567761138,29.877046641162583
1683,25.74404619518461,4.931858680233713,29.88406291661371
1684,25.746418054337507,4.928861759235954,29.89104163722074
1685,25.74880027917922,4.925842831961325,29.897982701922015
1686,25.751192847101233,4.922801926284312,29.904886007526937
1687,25.753595735227055,4.919739070104082,29.911751452177295
1688,25.7560089203778,4.916654291501617,29.91857893448315
1689,25.758432379037465,4.913547618904678,29.925368352659895
1690,25.760866087487333,4.910419080402884,29.932119607985477
1691,25.763310021602155,4.907268704759977,29.938832599616433
1692,25.765764156984567,4.9040965207315095,29.9455072280456
1693,25.768228468896293,4.90090255740397,29.952143393375437
1694,25.770702932393785,4.897686843489125,29.95874099877176
1695,25.77318752212293,4.894449408367524,29.96529994528461
1696,25.775682212454512,4.891190281385424,29.971820135302227
1697,25.77818697744954,4.8879094920236925,29.9783014716885
1698,25.780701790824114,4.884607070074527,29.984743856921376
1699,25.783226626086375,4.88128304491003,29.99114719654171
1700,25.785761456329418,4.8779374465644825,29.99751139398069
1701,25.788306254368376,4.874570305005581,30.003836354009294
1702,25.790860992670574,4.871181650496921,30.01012198101507
1703,25.793425643493737,4.8677715128459855,30.01636818244706
1704,25.79600017867756,4.864339922517458,30.02257486364885
1705,25.79858456978172,4.860886909883934,30.02874193130381
1706,25.801178788050724,4.857412505406465,30.034869292573774
1707,25.803782804378557,4.853916739823079,30.04095685423963
1708,25.806396589447967,4.850399643371089,30.047004526140633
1709,25.809020113520663,4.846861246939115,30.05301221601492
1710,25.811653346576325,4.843301581292035,30.058979832939297
1711,25.814296258242518,4.83972067745686,30.0649072856107
1712,25.816948817934428,4.8361185659246315,30.07079448578049
1713,25.819610994644403,4.832495277833313,30.07664134310191
1714,25.822282757081727,4.828850844172237,30.08244776856512
1715,25.824964073637457,4.825185295974715,30.08821367363799
1716,25.827654912348834,4.821498664518038,30.093938969408622
1717,25.830355241039975,4.817790980499987,30.0996235700136
1718,25.83306502711068,4.8140622752601185,30.105267387494436
1719,25.8357842376769,4.810312579958877,30.11087033522611
1720,25.838512839500172,4.806541925986648,30.116432326203448
1721,25.841250799128623,4.802750344119922,30.121953276463827
1722,25.843998082685324,4.798937865773342,30.127433099951144
1723,25.84675465600922,4.7951045221584705,30.1328717119391
1724,25.849520484620086,4.791250344487923,30.138269028174584
1725,25.852295533682863,4.787375364187304,30.143624964022663
1726,25.855079768149313,4.783479612025987,30.148939437882223
1727,25.857873152545935,4.779563119407417,30.1542123660603
1728,25.86067565111553,4.775625917502599,30.159443666188086
1729,25.863487227781906,4.77166803746077,30.164633256365818
1730,25.866307846114637,4.767689510627678,30.169781054309414
1731,25.86913746947065,4.763690367651317,30.17488698075871
1732,25.87197606078239,4.759670639810393,30.1799509543623
1733,25.874823582699342,4.755630358122575,30.184972895086055
1734,25.877679997517667,4.751569553789493,30.189952722509094
1735,25.88054526732159,4.747488257282385,30.194890359225113
1736,25.883419353772076,4.743386499701016,30.1997857257368
1737,25.88630221824817,4.739264311861778,30.20463874385785
1738,25.889193821812167,4.735121724520082,30.209449335860977
1739,25.892094125174705,4.730958768600248,30.21421742362774
1740,25.895003088836056,4.726775474256134,30.218942932042246
1741,25.897920672875184,4.722571872267989,30.22362578389664
1742,25.900846837091123,4.7183479931056524,30.228265903285532
1743,25.90378154093308,4.7141038673965205,30.232863213908495
1744,25.90672474364139,4.709839524966016,30.23741764245679
1745,25.90967640403727,4.705554996265059,30.24192911352866
1746,25.912636480663902,4.701250311413019,30.246397553017143
1747,25.91560493175191,4.69692550043175,30.250822887260878
