,SIMX,SIMY,SIMZ,PWM_X+,PWM_X-,PWM_Y+,PWM_Y-,PWM_Z+,PWM_Z-
2351,27.13883972787077,-1.2051058728255355,23.559569274898475,26.535961681996927,0.0,0.0,22.399028941430657,0,44.61893176457498
2352,27.13761147465691,-1.219302973338424,23.53195784545369,26.522528566791074,0.0,0.0,22.45261072543371,0,44.569757057302766
2353,27.136373069475788,-1.2335070437215665,23.504294306216863,26.508352408476547,0.0,0.0,22.48471495166665,0,44.59718047357265
2354,27.135124554945538,-1.2477180380239707,23.47657869111977,26.51142714144387,0.0,0.0,22.525345774481032,0,44.73723325890079
2355,27.13386597299163,-1.261935913906121,23.448811033277728,26.51374672523885,0.0,0.0,22.604507322824706,0,44.78594663893415
2356,27.13259736630892,-1.2761606256963132,23.420991366281783,26.527305145024204,0.0,0.0,22.644203698242492,0,44.78535181916508
2357,27.131318777380525,-1.290392129019014,23.393119723333395,26.51009641145252,0.0,0.0,22.6924389756539,0,44.86747998516504
2358,27.13003024896236,-1.3046303784765587,23.365196137685487,26.510114560829937,0.0,0.0,22.749217202739835,0,44.96636230255375
2359,27.12873182310284,-1.3188753322932985,23.337220641718982,26.52135365469164,0.0,0.0,22.814542402115816,0,44.95602991752236
2360,27.127423542603765,-1.3331269453501964,23.30919326831344,26.5018077802539,0.0,0.0,22.888418569325932,0,44.974513956534295
2361,27.12610545003985,-1.3473851738271136,23.281114049929887,26.51147105027781,0.0,0.0,22.9528496736222,0,45.12384552657636
2362,27.12477758799901,-1.3616499740421395,23.25298301883453,26.520337603077216,0.0,0.0,22.995839658047483,0,45.146055715275644
2363,27.123439999322127,-1.3759213012856,23.224800207341783,26.49840160267049,0.0,0.0,23.029392438818842,0,45.16717559087058
2364,27.12209272612391,-1.390199114481597,23.196565646825025,26.50565723834484,0.0,0.0,23.0715119075078,0,45.25323620277556
2365,27.120735811251908,-1.4044833691958287,23.168279369186287,26.482098725095984,0.0,0.0,23.122201929025298,0,45.26026858126379
2366,27.119369297307166,-1.4187740222956062,23.139941405873028,26.457720303480283,0.0,0.0,23.18146634240266,0,45.25430373773997
2367,27.117993227127407,-1.4330710296155875,23.111551788378307,26.462516239756727,0.0,0.0,23.249308960172012,0,45.36137266471298
2368,27.116607642809296,-1.447374350632386,23.083110547199556,26.466480825442304,0.0,0.0,23.325733570551442,0,45.45550633639325
2369,27.115212587165285,-1.4616839414525264,23.054617713386005,26.469608377741476,0.0,0.0,23.38074393542296,0,45.39273570836165
2370,27.113808102745462,-1.4759997594852785,23.02607331750408,26.459893239388755,0.0,0.0,23.396343791114127,0,45.473091717859205
2371,27.11239423207715,-1.4903217622738807,22.99747738989062,26.461329778635047,0.0,0.0,23.420536848478456,0,45.582605283924835
2372,27.11097101790366,-1.5046499063217469,22.968829960925728,26.461912389377243,0.0,0.0,23.489326792271505,0,45.583307307369395
2373,27.10953850220852,-1.5189841517832083,22.94013105992598,26.449635490702356,0.0,0.0,23.548717283341432,0,45.58922867141381
2374,27.10809672766904,-1.5333244554269023,22.911380716790173,26.43649352730378,0.0,0.0,23.598711956597572,0,45.6904002413397
2375,27.106645736680356,-1.5476707753244503,22.882578960899927,26.422480969311994,0.0,0.0,23.627314421792242,0,45.73085286479974
2376,27.105185571594276,-1.562023069677671,22.85372582138869,26.41959231226856,0.0,0.0,23.664528263598843,0,45.69261737196653
2377,27.10371627495739,-1.5763812956407808,22.824821327431145,26.403822077242992,0.0,0.0,23.69235704098331,0,45.77972457550784
2378,27.10223788853767,-1.590745414026575,22.79586550707064,26.417164810365595,0.0,0.0,23.746804289399254,0,45.92020527126546
2379,27.100750454774392,-1.6051153822459188,22.76685838896429,26.41161508323023,0.0,0.0,23.791873518746804,0,45.916090237886884
2380,27.09925401580436,-1.6194911590123002,22.737800001216968,26.405167492712845,0.0,0.0,23.845568214154184,0,45.9294102371567
2381,27.09774861394198,-1.6338727019845252,22.708690371974168,26.415816661078036,0.0,0.0,23.895891835344898,0,46.0261960139722
2382,27.09623429070796,-1.6482599724849336,22.679529528196426,26.407557235502814,0.0,0.0,23.95484781883586,0,46.11047829705435
2383,27.09471108827572,-1.6626529284204878,22.65031749748384,26.386383888468245,0.0,0.0,23.986439575888152,0,46.116287798564045
2384,27.09317904850005,-1.677051528999488,22.62105430685727,26.364291317568277,0.0,0.0,24.044670493287846,0,46.12165521444968
2385,27.091638213154656,-1.6914557335507132,22.591739983058574,26.371274245461073,0.0,0.0,24.111543933418275,0,46.22261122461454
2386,27.090088624168647,-1.7058655003388623,22.562374552869613,26.359327419962263,0.0,0.0,24.157063233621592,0,46.28118649289277
2387,27.08853032265885,-1.7202807912973357,22.532958041820432,26.334445613557573,0.0,0.0,24.193231708399992,0,46.243411667800515
2388,27.086963350370976,-1.7347015649269095,22.50349047611364,26.320623623780158,0.0,0.0,24.238052647356138,0,46.30731738213233
2389,27.085387748711536,-1.7491277810269463,22.47397188133947,26.32385627300708,0.0,0.0,24.261529315972307,0,46.43093425332865
2390,27.08380355922472,-1.7635593983244708,22.444402283128618,26.344138408541912,0.0,0.0,24.32366495496699,0,46.49429288345148
2391,27.082210822627182,-1.7779963792181015,22.41478170580714,26.345464902118223,0.0,0.0,24.41246278249785,0,46.4494238599672
2392,27.080609580245284,-1.7924386826594627,22.385110174401213,26.327830650265394,0.0,0.0,24.43192599209353,0,46.48835775532647
2393,27.078999873049497,-1.8068862688957847,22.355387713298672,26.34523057409509,0.0,0.0,24.490057753431,0,46.593125127347264
2394,27.07738174189053,-1.8213390982824809,22.325614346579023,26.361659619229407,0.0,0.0,24.526861212400487,0,46.67975651939985
2395,27.07575522773399,-1.8357971300912963,22.295790098363845,26.3411127558698,0.0,0.0,24.572339490455263,0,46.694282460381544
2396,27.074120370699383,-1.8502603272680984,22.265914991404657,26.33758497828943,0.0,0.0,24.626495686816124,0,46.70873346553875
2397,27.072477211491037,-1.8647286492935875,22.235989049187857,26.315071305184055,0.0,0.0,24.671332876392277,0,46.837140036026035
2398,27.07082579043661,-1.8792020569393133,22.20601229452976,26.309566779446023,0.0,0.0,24.724854110555864,0,46.88753265930818
2399,27.069166147960303,-1.893680509884016,22.175984750290013,26.303066468222205,0.0,0.0,24.757062416486274,0,46.84794180913417
