,SIM X,SIM Y,SIM Z,PWM_X+,PWM_X-,PWM_Y+,PWM_Y-,PWM_Z+,PWM_Z-
0,35.04777666765953,2.033587735279452,35.04777666765953,45.94888333829762,0,33.942938676397254,0,0,63.7783721173784
1,35.04777666765953,2.033587735279452,35.04777666765953,46.41776667659525,0,34.09587735279451,0,0,63.47174423475679
2,35.03725997415917,2.0311677015812863,35.03725997415917,46.719066547391115,0,34.24671586070093,0,0,63.5951257228823
3,35.02664435292706,2.028711502100011,35.02664435292706,46.362288312026394,0,34.08027337120099,0,0,63.723321102486025
4,35.01592994553458,2.0262189964057526,35.01592994553458,46.568973066932,0,34.06825885502687,0,0,64.91935180416442
5,35.00511689644298,2.0236900449544084,35.00511689644298,47.019557549146896,0,34.3967090797989,0,0,64.16658091021725
6,34.99420535094209,2.021124508305875,34.99420535094209,46.85558430385734,0,34.33233162132828,0,0,64.62302604747354
7,34.98319545695399,2.018522247808582,34.98319545695399,46.28156158862731,0,33.924942860371196,0,0,64.76348413440913
8,34.972087364260055,2.0158831253062863,34.972087364260055,46.341998409927605,0,34.14435848690263,0,0,63.777750198568526
9,34.960881223699246,2.013207002884068,34.960881223699246,46.91140452842382,0,34.24039350132297,0,0,65.06561739879461
10,34.94957718901333,2.010493743496266,34.94957718901333,46.58429047349048,0,34.09286221880429,0,0,65.2668770109065
11,34.938175414721556,2.0077432102714283,34.938175414721556,46.27016754709827,0,34.11157827016144,0,0,64.01631845525623
12,34.92667605797993,2.0049552671204545,34.92667605797993,46.64854783699792,0,34.0063546057637,0,0,65.66872928770265
13,34.91507927778464,2.00212977847587,34.91507927778464,46.828944225921134,0,34.26700349814305,0,0,64.8038952063116
14,34.90338523414518,1.99926660907072,34.90338523414518,47.11087039664706,0,34.30833654349665,0,0,65.72660007383537
15,34.891594089986256,1.9963656244891648,34.891594089986256,46.1030438015852,0,34.121981853697896,0,0,63.902623320566846
16,34.87970600895723,1.9934266905597355,34.87970600895723,46.59672084189273,0,33.99240196121671,0,0,65.85203760568452
17,34.86772115734816,1.9904496738856967,34.86772115734816,47.08532662863353,0,34.38465033064519,0,0,65.52604410395301
18,34.855639703268196,1.987434441617192,34.855639703268196,47.06852514497451,0,34.376822538731155,0,0,65.30170665443235
19,34.84346181579411,1.9843808612637948,34.84346181579411,46.21083422394506,0,33.74872684505012,0,0,65.58879999361515
20,34.83118766692921,1.9812888011663825,34.83118766692921,45.66677255859111,0,33.595170850882035,0,0,65.10709704305268
21,34.81881742934663,1.9781581299800863,34.81881742934663,46.11585970532427,0,33.705961500782465,0,0,65.7063689374228
22,34.80635127836316,1.974988717125708,34.80635127836316,46.43444045795849,0,33.90841072784816,0,0,65.98188340798661
23,34.79378939109251,1.9717804325953303,34.79378939109251,45.73338741342104,0,33.83231289082482,0,0,64.97741122105519
24,34.78113194556851,1.9685331467989968,34.78113194556851,46.4490471412636,0,34.249978624819796,0,0,64.65821655389811
25,34.76837912276244,1.9652467309566457,34.76837912276244,46.33094275507581,0,34.26121227960302,0,0,64.73906341223324
26,34.75553110425874,1.9619210566722487,34.75553110425874,46.09859827636953,0,33.74081756296426,0,0,65.93971405068511
27,34.74258807428752,1.9585559963048769,34.74258807428752,45.46153864780713,0,33.638597544488654,0,0,65.17992896425045
28,34.729550218852594,1.955151422808412,34.729550218852594,45.75928974207011,0,33.584354658530714,0,0,65.82946689560113
29,34.71641772482797,1.9517072096127408,34.71641772482797,45.87637836620996,0,33.647890706594424,0,0,65.99808485825997
30,34.703190782035605,1.9482232309346856,34.703190782035605,45.560736885370176,0,33.65489524580051,0,0,65.35829279642235
31,34.689869580851514,1.944699361444464,34.689869580851514,46.26508478962776,0,34.23839205302283,0,0,65.35433491934013
32,34.67645431429874,1.941135476555525,34.67645431429874,46.42912920397208,0,34.2735016975227,0,0,65.58977945269397
33,34.6629451771494,1.9375314522987228,34.6629451771494,46.55738250114439,0,34.14739323286695,0,0,66.69000571535389
34,34.64934236499444,1.9338871652385696,34.64934236499444,45.429094326116584,0,33.64682905905979,0,0,65.37531857747264
35,34.635646076382486,1.930202492701996,34.635646076382486,45.844501669837754,0,33.99774027621877,0,0,65.29442751573261
36,34.621856510355535,1.9264773125385612,34.621856510355535,45.54878422161545,0,33.72512683891157,0,0,65.5546573387926
37,34.6079738686031,1.9227115033277384,34.6079738686031,46.27466663032941,0,33.967328603886386,0,0,66.76673110583756
38,34.59399835453766,1.9189049442880592,34.59399835453766,45.33465840301771,0,33.65185332532668,0,0,65.57585133662268
39,34.579930172337235,1.915057515228917,34.579930172337235,45.60434417853527,0,33.7646121438568,0,0,66.19996001116745
40,34.5657695291465,1.91116909669606,34.5657695291465,46.29819182426776,0,34.2204576273371,0,0,66.35193075263194
41,34.551516632540405,1.9072395698266544,34.551516632540405,45.51077498696979,0,33.87665547647036,0,0,65.33493265468093
42,34.53717169274134,1.9032688164731604,34.53717169274134,46.42163345067648,0,34.03799955883617,0,0,67.22870079547536
43,34.522734921667166,1.8992567191478884,34.522734921667166,45.2003080590123,0,33.509283154575606,0,0,66.02296861503785
44,34.50820653194637,1.8952031610107556,34.50820653194637,46.41634071874414,0,34.07529895962939,0,0,67.36246793903571
45,34.49358673918247,1.8911080259304804,34.49358673918247,45.28927441465649,0,33.7808390892818,0,0,65.5319289655669
