,SIMX,SIMY,SIMZ,PWM_X+,PWM_X-,PWM_Y+,PWM_Y-,PWM_Z+,PWM_Z-
0,0,0,0,0.0,59.45999999999998,0.0,15.089999999999995,0.0,64.96199999999999
1,10,10,10,0.0,35.23799999999997,12.990000000000002,0.0,0.0,59.55
2,20,20,20,32.17800000000004,0.0,26.316000000000003,0.0,0.0,47.84400000000001
3,30,30,30,57.52200000000005,0.0,35.74200000000002,0.0,0.0,29.808
4,40,40,40,66.41400000000004,0.0,43.54200000000002,0.0,14.100000000000001,0.0
